synth_id,reference_synth_id,participant_id,prompt,prompt_descriptor,prompt_direction,delta_attack_1,delta_attack_2,delta_attack_3,delta_decay_1,delta_decay_2,delta_decay_3,delta_gain_2,delta_gain_3,delta_release_1,delta_release_2,delta_release_3,delta_sustain_1,delta_sustain_2,delta_sustain_3,delta_tuning_2,delta_tuning_3,param_attack_1,param_attack_2,param_attack_3,param_decay_1,param_decay_2,param_decay_3,param_gain_2,param_gain_3,param_release_1,param_release_2,param_release_3,param_sustain_1,param_sustain_2,param_sustain_3,param_tuning_2,param_tuning_3,ref_attack_1,ref_attack_2,ref_attack_3,ref_decay_1,ref_decay_2,ref_decay_3,ref_gain_2,ref_gain_3,ref_release_1,ref_release_2,ref_release_3,ref_sustain_1,ref_sustain_2,ref_sustain_3,ref_tuning_2,ref_tuning_3,bright,rough,percussive,clean,complex,sweet,smooth,warm,raw,harsh,metallic,aggressive,rich,hard,deep,thin,noisy,woody,clear,gritty,dull,mellow,dark,sharp,thick,big,plucky,note,semantic_factor_1,semantic_factor_2,semantic_factor_3,semantic_factor_4,semantic_factor_5,msi_complimented,msi_consider,msi_singer,msi_song_first_time,msi_mistakes,msi_performance_differences,msi_recognising_familiar,msi_out_of_time,msi_out_of_tune,msi_sing_in_tune,msi_identify_genre,msi_practice_years,msi_practice_hours,msi_theory,msi_instrument_training,msi_instruments_played,age,country_childhood,country_residence,stft_mag_centroid_median,stft_mag_centroid_iqr,stft_mag_spread_median,stft_mag_spread_iqr,stft_mag_skewness_median,stft_mag_skewness_iqr,stft_mag_kurtosis_median,stft_mag_kurtosis_iqr,stft_mag_decrease_median,stft_mag_decrease_iqr,stft_mag_frame_erg_median,stft_mag_frame_erg_iqr,stft_mag_flatness_median,stft_mag_flatness_iqr,stft_mag_crest_median,stft_mag_crest_iqr,stft_pow_centroid_median,stft_pow_centroid_iqr,stft_pow_spread_median,stft_pow_spread_iqr,stft_pow_skewness_median,stft_pow_skewness_iqr,stft_pow_kurtosis_median,stft_pow_kurtosis_iqr,stft_pow_decrease_median,stft_pow_decrease_iqr,stft_pow_frame_erg_median,stft_pow_frame_erg_iqr,stft_pow_flatness_median,stft_pow_flatness_iqr,stft_pow_crest_median,stft_pow_crest_iqr,bark_centroid_median,bark_centroid_iqr,bark_spread_median,bark_spread_iqr,bark_skewness_median,bark_skewness_iqr,bark_kurtosis_median,bark_kurtosis_iqr,bark_decrease_median,bark_decrease_iqr,bark_frame_erg_median,bark_frame_erg_iqr,bark_flatness_median,bark_flatness_iqr,bark_crest_median,bark_crest_iqr,harmonic_centroid_median,harmonic_centroid_iqr,harmonic_spread_median,harmonic_spread_iqr,harmonic_skewness_median,harmonic_skewness_iqr,harmonic_kurtosis_median,harmonic_kurtosis_iqr,harmonic_decrease_median,harmonic_decrease_iqr,harmonic_frame_erg_median,harmonic_frame_erg_iqr,harmonic_crest_median,harmonic_crest_iqr,harmonic_inharmonicity_median,harmonic_inharmonicity_iqr,harmonic_tri_1_median,harmonic_tri_1_iqr,harmonic_tri_2_median,harmonic_tri_2_iqr,harmonic_tri_3_median,harmonic_tri_3_iqr,harmonic_odd_to_even_ratio_median,harmonic_odd_to_even_ratio_iqr,harmonic_noisiness_median,harmonic_noisiness_iqr,log_attack_time,effective_duration,temporal_centroid,strong_decay,zero_crossing_rate,acoustic_component_1,acoustic_component_2,acoustic_component_3,acoustic_component_4,delta_acoustic_component_1,delta_acoustic_component_2,delta_acoustic_component_3,delta_acoustic_component_4
166c4f81197697d65c2bd8003fb0e979,default,ref_sounds,rougher,rough,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.15,0.77,0.39,0.25,0.2,0.284,0.76,0.51,0.56,0,0.63,0.13,2.08E-05,0.09375,0,0.06,0.15,0.77,0.39,0.25,0.2,0.284,0.76,0.51,0.56,0,0.63,0.13,2.08E-05,0.09375,0,5,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,40,-0.015252975,-0.075309533,0.22106528,-0.084166013,0.178102095,,,,,,,,,,,,,,,,,,,,0.013697707,0.006667721,0.005118071,0.003606118,9.472723007,4.285800934,98.11258698,100.0079231,-0.011646613,0.007919968,0.342736363,0.502360515,0.027653409,0.019274317,248.4763184,8.857505798,0.003744847,0.000202392,1.80E-06,7.38E-07,137.5668335,120.61409,74707.77344,57419.02344,-0.003962157,0.005809827,0.06643945,0.236499061,4.56E-06,6.10E-06,368.4560547,8.602645874,0.739274025,0.141132236,0.074410319,0.047152558,-0.427329928,0.663331017,-0.98422718,1.299053371,5.03E-05,6.77E-05,4.90E-08,1.79E-07,0.39894101,0.312782653,10.04637146,2.887320995,0.007551261,0.000892001,0.001736349,0.000402924,5.971844196,0.882021189,38.18050385,17.88183594,-0.138189241,0.094267558,0.249334574,0.358752809,19.30467796,0.055989265,5.80E-05,6.82E-05,0.965233922,0.002799511,0.017032513,0.001873544,0.017678961,0.001777662,0.000606219,8.76E-05,0.095529616,0.140644792,-1.42721796,1.241836786,0.470079631,139.1969604,0.003755102,4.419974651,4.726969,-0.685623416,-0.383620933,,,,
63a1c3b886d4ae02a7b4e85fa8ef6ef8,default,ref_sounds,rougher,rough,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.37,0.25,0.25,0.55,0.083,0.26,0.2,0.26,0,0,0,0.010416667,0.010416667,0.01,0,0,0.37,0.25,0.25,0.55,0.083,0.26,0.2,0.26,0,0,0,0.010416667,0.010416667,0,5,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,74,-0.015252975,-0.075309533,0.22106528,-0.084166013,0.178102095,,,,,,,,,,,,,,,,,,,,0.053079214,0.017873472,0.013708503,0.00874182,5.407671452,2.303685188,30.89152908,30.25823116,-0.005343285,0.007761029,0.078172378,0.271157202,0.083580308,0.050863795,209.0899048,10.95095825,0.026664084,3.08E-05,8.88E-06,8.46E-06,154.5292053,84.47587204,38831.79688,24652.11426,-0.000862224,0.002990668,0.003024112,0.042103162,4.70E-05,6.09E-05,304.0842285,1.356018066,0.736467242,0.023469031,0.076672822,0.010932729,-0.726131022,0.096222818,-0.575890303,0.27880919,1.22E-05,4.39E-05,2.85E-09,4.05E-08,0.446676135,0.091583893,10.65558243,0.604681015,0.000565809,0.00120564,0.00010189,9.19E-05,20.64601707,20.96387172,431.6600342,792.0901203,-0.061188135,0.089232152,0.050464582,0.175120891,19.87446213,0.503079414,1.29E-06,8.98E-06,0.993723094,0.025153995,0.005205934,0.026138841,0.000516325,0.000916965,2.85E-05,0.000743985,0.027707797,0.096036311,-1.673162699,1.244444489,0.439161777,101.8708038,0.021696145,8.179946024,9.378750542,-0.698429439,0.659555784,,,,
8e91a9e03c7e779e2359e125e91659ba,default,ref_sounds,less thick,thick,less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.5,1,0.25,0.46,0.62,0.283,0.033,0.73,0.3,0.22,1,0.38,0,0.052083333,0.1041875,0.54,0.5,1,0.25,0.46,0.62,0.283,0.033,0.73,0.3,0.22,1,0.38,0,0.052083333,0.1041875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1.8,-0.6,40,-0.046882254,-0.412847456,0.096133339,-0.04705016,0.108588251,,,,,,,,,,,,,,,,,,,,0.013674744,0.007504278,0.004825774,0.004237133,9.757356644,5.845814705,104.2756348,146.9267578,-0.023932243,0.006114231,1.343435645,0.5060516,0.026327655,0.022707663,238.4503326,15.45336914,0.003799333,8.76E-05,2.26E-06,1.07E-06,95.3680954,115.5134373,42842.90234,52182.0127,-0.015530694,0.005848343,1.012923241,0.612887204,4.40E-06,6.78E-06,367.4737549,8.448638916,0.731785119,0.135373831,0.073881954,0.042637009,-0.418027133,0.61001569,-1.038262963,0.968566775,0.00016031,0.00013234,5.74E-07,5.92E-07,0.411245406,0.296704218,9.977876663,2.726550102,0.009220192,0.005250853,0.00149929,0.000907519,4.160424232,1.699701786,19.60375977,22.70559311,-0.279140353,0.061727583,0.981538057,0.359027863,18.86494255,0.642478943,8.77E-05,0.000211839,0.943247139,0.032123983,0.055773128,0.031846628,0.000950674,0.002689975,0.003505158,0.004400697,0.354526401,0.144129664,-0.625280738,1.094761848,0.57036823,177.0870514,0.003755102,2.633960553,1.002981396,-0.607403951,0.261546638,,,,
7ae43012ca8b9ade64439556ef271609,default,ref_sounds,thicker,thick,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.4,0.41,0.25,0.25,0.73,0.2,0.183,0.39,0.52,0.48,1,0.74,0.94,0.010416667,0.010416667,0.35,0.4,0.41,0.25,0.25,0.73,0.2,0.183,0.39,0.52,0.48,1,0.74,0.94,0.010416667,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2,0.5,57,-0.055893066,0.169295688,0.271174805,-0.03810594,-0.09856008,,,,,,,,,,,,,,,,,,,,0.021576554,0.005648804,0.005434051,0.003415631,9.118593693,3.181876898,90.8096199,70.529562,-0.024556896,0.00214441,1.297620416,0.173187494,0.030417109,0.018264792,221.9814148,6.648311615,0.01025374,7.15E-05,4.41E-06,8.74E-07,51.57091713,58.31182528,16431.13574,17326.86719,-0.014807667,0.001974892,0.890343964,0.215782776,6.76E-06,7.06E-06,358.0598907,1.803916931,0.726153165,0.038173571,0.075288985,0.024704326,-0.603880942,0.324599288,-0.814613342,0.729740798,0.000196579,4.51E-05,6.39E-07,2.75E-07,0.399278641,0.160733394,9.960542679,0.889605045,0.008932502,0.000920667,0.000631372,0.000294458,10.70850086,11.79715264,308.8998718,406.5004005,-0.300436959,0.024684034,0.934553534,0.125765398,16.94760227,0.368044853,4.02E-05,3.18E-05,0.847380102,0.018402249,0.152285397,0.018833376,0.000356248,0.000729699,0.027063619,0.006941427,0.360621899,0.048884735,-1.042813063,1.194693923,0.52341795,190.6974792,0.009977324,-0.616340495,-1.81596632,-1.763152448,-2.917598326,,,,
9c2154ac2c722d5075ca4a54a9b12d2f,default,ref_sounds,thicker,thick,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0.32,0.02,0.61,0.317,0.15,0.61,0.06,0.83,0.09,0,0,0.010416667,0.010416667,0.18,0,0,0.32,0.02,0.61,0.317,0.15,0.61,0.06,0.83,0.09,0,0,0.010416667,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2,0.5,74,-0.055893066,0.169295688,0.271174805,-0.03810594,-0.09856008,,,,,,,,,,,,,,,,,,,,0.054298254,0.019806299,0.014279523,0.009790947,5.310854435,2.607565999,29.74985504,34.51546478,-0.002063685,0.000287955,0.011109248,0.002871191,0.086438667,0.057230662,208.1542511,10.47538757,0.026675003,4.13E-05,7.94E-06,7.79E-06,150.8436661,49.09394264,34072.2793,22243.50439,-0.000122528,3.17E-05,6.12E-05,3.53E-05,5.26E-05,6.89E-05,304.0767975,1.34463501,0.730077296,0.023359522,0.075374879,0.010637179,-0.684592754,0.10223642,-0.593503118,0.290670455,1.75E-06,5.48E-07,5.30E-11,3.74E-11,0.464345887,0.112796545,10.05917692,0.578168154,0.00197281,0.001444043,0.000231426,9.81E-05,14.05991793,6.080866814,248.6752548,169.5551071,-0.023519119,0.003457071,0.007196762,0.001855286,19.48825169,0.545725346,6.88E-06,1.94E-05,0.97441262,0.027286291,0.023467291,0.026228067,0.001603471,0.001400951,0.000456789,0.001402423,0.00392633,0.001034126,-1.733281016,1.238662124,0.447907895,52.66936874,0.026648525,4.504580706,1.947024625,-1.548229949,2.022403933,,,,
a564bc072d3f790507636b59381ee714,default,ref_sounds,brighter,bright,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.67,0.53,0.25,0.25,0.58,0.1,0.034,0.77,0.37,0.71,0.4,0.83,0.93,2.08E-05,0.094104167,0.57,0.67,0.53,0.25,0.25,0.58,0.1,0.034,0.77,0.37,0.71,0.4,0.83,0.93,2.08E-05,0.094104167,5,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,57,0.011115915,-0.137394717,0.182293559,0.006902914,0.036845686,,,,,,,,,,,,,,,,,,,,0.022088353,0.007750712,0.00608428,0.004183735,8.557470322,3.754858971,80.08113098,79.88484955,-0.009577388,0.001498228,0.219017759,0.055741221,0.034531377,0.023102477,241.0899963,11.3052063,0.009993584,1.25E-05,2.69E-06,1.09E-06,114.0198822,90.51194,45071.875,29946.78516,-0.002500601,0.000636377,0.026660705,0.013325319,7.42E-06,9.69E-06,366.9042053,1.30065918,0.726798892,0.039988279,0.075308472,0.025109496,-0.622050226,0.377611816,-0.780410051,0.803061843,3.33E-05,9.60E-06,2.03E-08,1.21E-08,0.41530624,0.15579465,9.771162033,1.109015465,0.00704357,0.001288173,0.001785901,0.000452249,8.394137383,1.663789272,100.640892,47.38182831,-0.109809555,0.014386728,0.157578662,0.039172262,19.36552429,0.134168625,2.46E-05,1.32E-05,0.968276143,0.006708562,0.014777651,0.003799376,0.01636629,0.003316751,0.000466478,0.000173943,0.061604664,0.01652357,-0.609689832,1.085396767,0.545041025,100.9911728,0.009977324,1.120831113,-0.61950941,-3.670162163,0.363223874,,,,
8b04290063a462dba8ca648ae6a127f8,default,ref_sounds,brighter,bright,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22,0.71,0.033,0.183,0.75,0.3,0.77,0.29,0,0,0.489583333,0.15625,0,0,0,1,0.22,0.71,0.033,0.183,0.75,0.3,0.77,0.29,0,0,0.489583333,0.15625,5,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,74,0.011115915,-0.137394717,0.182293559,0.006902914,0.036845686,,,,,,,,,,,,,,,,,,,,0.065413363,0.018552214,0.015691731,0.008437444,4.321302414,0.871354699,21.51292038,9.932598114,-0.018975193,0.004458606,0.892715216,0.359338552,0.087317303,0.054757876,199.6466827,12.09446716,0.027197231,0.001071462,0.000111707,0.000201244,20.14157486,19.28018475,515.8138428,1190.806206,-0.009834995,0.00393415,0.39303261,0.320191786,6.11E-05,7.05E-05,303.2153931,1.951248169,0.727907956,0.022825807,0.075511195,0.010610458,-0.674911916,0.106097788,-0.597403288,0.30273664,0.000135426,5.57E-05,3.31E-07,2.74E-07,0.477989405,0.100505516,9.930325508,0.539284229,0.011689384,0.00972457,0.003535445,0.002719442,4.910213947,2.219316363,22.13049316,22.24317455,-0.209108382,0.04396712,0.576995313,0.232573524,19.24814415,0.615694046,4.82E-05,9.58E-05,0.962407231,0.030784756,0,0.000228019,0.036717691,0.030775202,4.18E-07,1.05E-06,0.315719903,0.127097666,-1.382224917,1.241904736,0.484091401,178.3668823,0.026648525,-1.234527795,1.074173963,1.034307002,-0.370301605,,,,
30b6d61a820e36405369cfa2cf570386,default,ref_sounds,less rough,rough,less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.48,0.35,0.167,0.25,0.3,0.3,0.3,0,0,0,0.002104167,0.088541667,0,0,0,0.56,0.48,0.35,0.167,0.25,0.3,0.3,0.3,0,0,0,0.002104167,0.088541667,0,-5,0,0,0,0,0,0,0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,-0.073143648,-0.127968702,0.151689201,0.007181376,-0.188161634,,,,,,,,,,,,,,,,,,,,0.022085015,0.008224596,0.006044761,0.004530713,8.611855507,3.969290495,80.65518951,84.31319809,-0.005456844,0.008528453,0.082239956,0.303869823,0.033198349,0.024597956,252.4507294,12.88558197,0.009978935,5.89E-06,2.28E-06,1.28E-06,160.9816284,159.1711464,85165.47656,75127.79395,-0.000939009,0.003469553,0.003775856,0.058661028,6.93E-06,9.51E-06,367.5102844,1.370834351,0.7313658,0.039472997,0.076334715,0.025465574,-0.640921474,0.354732826,-0.781844139,0.819344103,1.28E-05,4.57E-05,2.72E-09,4.86E-08,0.41596213,0.150825009,10.08749294,1.051646709,0.00109497,0.000956605,0.000633962,0.000530911,27.37135315,12.75468254,801.1738281,864.9536743,-0.066136904,0.098107254,0.059243288,0.219057813,19.93792152,0.070099831,3.03E-07,9.76E-07,0.996896148,0.003505021,0.001561733,0.003069482,0.001761402,0.001533154,2.27E-06,9.23E-06,0.022996668,0.08481201,-1.524852753,1.243673444,0.452770054,114.0600891,0.009977324,8.654217496,8.591157589,-1.996612073,0.520820143,,,,
60f662ecf05ece7e70a9418e78eaf4ee,default,ref_sounds,brighter,bright,more,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.26,0.57,0.25,0.25,0.47,0.7,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.010416667,2.08E-05,0.34,0.26,0.57,0.25,0.25,0.47,0.7,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.010416667,2.08E-05,5,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,40,0.011115915,-0.137394717,0.182293559,0.006902914,0.036845686,,,,,,,,,,,,,,,,,,,,0.012932896,0.006625269,0.004784601,0.003346495,9.822853565,3.968243599,105.5503922,91.75700188,-0.00987952,0.000405638,0.212682843,0.020479504,0.025779687,0.01796721,226.7310867,11.37713623,0.003742476,0.00041383,2.00E-06,7.25E-07,119.0527115,89.35573387,58407.10352,38003.76758,-0.002458429,0.000238096,0.023776962,0.003242712,4.69E-06,6.57E-06,352.3809814,21.71659851,0.730098277,0.131131575,0.071686003,0.045373641,-0.444783047,0.516957223,-0.950584292,1.067298561,3.12E-05,2.54E-05,1.87E-08,1.87E-08,0.404389843,0.303538755,10.51420021,3.573683739,0,0,0,0,0,0,-3,0,-0.104535569,0.002683366,0.14832104,0.007781517,20,0,0,0,1,0,0,0,0,0,0,0,0.065999918,0.014493454,-1.302015901,1.204308391,0.481370121,91.02683258,0.003755102,1.785844152,0.563736688,-0.647888593,2.27242472,,,,
ae82505e2bccaff5f09c564521cf6682,a564bc072d3f790507636b59381ee714,aec3f35a14102dbcc5b55fe2828271d9,less thick,thick,less,0.01,-0.25,-0.38,0.27,0.42,0.15,-0.017,0.15,-0.47,-0.07,0.07,-0.09,-0.39,-0.53,0.031583333,-0.084041667,0.58,0.42,0.15,0.52,0.67,0.73,0.083,0.184,0.3,0.3,0.78,0.31,0.44,0.4,0.031604167,0.0100625,0.57,0.67,0.53,0.25,0.25,0.58,0.1,0.034,0.77,0.37,0.71,0.4,0.83,0.93,2.08E-05,0.094104167,3.3,2.4,-0.1,-1.2,2.3,-3.2,4.3,-5.5,0.9,0.8,3.3,1.7,3.4,-4,-3.9,4,0.1,0,4.7,1.4,3.1,-3.8,-3.6,2.3,-7.1,-2.8,-1.3,57,0.381459758,-0.909985421,-0.130733175,0.069625423,0.282410007,2,1,5,5,4,5,3,6,6,4,7,5,6,6,6,3,24,Norway,Norway,0.021144615,0.00766331,0.005740231,0.004083277,8.860868454,4.102347374,85.72899628,90.4658432,-0.013058408,0.007975516,0.362309158,0.508293942,0.032455392,0.022434112,225.6347351,12.16522217,0.009965513,8.55E-05,3.40E-06,1.41E-06,75.37016296,82.49362564,28497.13086,30507.84082,-0.004137341,0.005802791,0.071584947,0.260589954,7.82E-06,9.98E-06,363.6208801,3.994659424,0.726801753,0.03916204,0.075264238,0.023933429,-0.625320733,0.338241547,-0.770964384,0.808283567,5.37E-05,7.73E-05,5.39E-08,2.03E-07,0.412791371,0.152798235,9.894898415,1.123311043,0.006507107,0.001286583,0.000732698,0.000285362,11.95610523,9.394604206,294.8074646,286.3056488,-0.148996621,0.098533489,0.259207159,0.365625799,18.26596642,0.452180862,7.18E-05,4.13E-05,0.913298309,0.022608995,0.085174717,0.023125485,0.001558457,0.000715845,0.004094843,0.002397669,0.104726702,0.142372534,-0.578448355,1.071723342,0.553512752,123.045311,0.009995465,1.708932712,0.12669698,-1.688801059,-0.55976326,0.588101599,0.746206389,1.981361105,-0.922987135
86c4af7aab4f270c542f2fa1fe1f1bb7,8e91a9e03c7e779e2359e125e91659ba,aec3f35a14102dbcc5b55fe2828271d9,rougher,rough,more,-0.33,-0.35,-0.85,0.07,0.19,0.02,0.15,0.301,-0.09,0,0.08,-0.17,0.02,0.1,0.0211875,-0.1038125,0.21,0.15,0.15,0.32,0.65,0.64,0.433,0.334,0.64,0.3,0.3,0.83,0.4,0.1,0.073270833,0.000375,0.54,0.5,1,0.25,0.46,0.62,0.283,0.033,0.73,0.3,0.22,1,0.38,0,0.052083333,0.1041875,3.9,8.6,0.7,-4.9,4.6,-3.6,-5.4,1.1,4.1,3.1,2.5,6.5,4,1.8,1.6,-1.8,2.7,-1.3,-3.2,6,-3.7,-4.9,-2.2,1.9,1.7,2.9,0.6,40,0.51452842,0.482547133,0.481138022,-0.952398836,0.933057212,2,1,5,5,4,5,3,6,6,4,7,5,6,6,6,3,24,Norway,Norway,0.012542625,0.008246195,0.003566474,0.004945419,11.33959007,10.11665773,142.1462097,317.6878471,-0.022983974,0.002249421,0.9435516,0.00734669,0.020277806,0.027009284,204.0117493,25.60883331,0.004099316,0.000355251,6.36E-06,4.42E-06,19.49278831,46.65546942,4524.018555,13807.76962,-0.010902803,8.05E-05,0.461995929,0.030317843,3.36E-06,8.23E-06,356.1448669,17.46650696,0.731466889,0.129380852,0.073777072,0.046928216,-0.453924745,0.528739005,-0.986314774,1.185974836,0.00013707,8.94E-05,3.44E-07,2.77E-07,0.414499223,0.29749728,9.951431274,2.964177608,0.036063991,0.013018985,0.006134336,0.002250313,2.40630579,0.635951161,6.67371273,4.639895439,-0.258463681,0.011582643,0.678035498,0.015136987,15.78971863,1.433604717,0.002138297,0.00450221,0.789485872,0.071680218,0.100239582,0.03036866,0.10970968,0.038874611,0,1.01E-07,0.264579594,0.016379356,-1.394751191,1.23328793,0.505280018,172.8858948,0.003863946,-1.032228435,-2.026027455,0.847915006,1.223413252,-3.666188988,-3.02900885,1.455318957,0.961866614
1761bb2f22aa0da770451c3c8b663424,8b04290063a462dba8ca648ae6a127f8,aec3f35a14102dbcc5b55fe2828271d9,less bright,bright,less,0.15,0.15,0.15,-0.75,0.13,-0.1,0,-0.134,-0.45,0,-0.47,-0.11,0.4,0.4,-0.084020833,-0.083333333,0.15,0.15,0.15,0.25,0.35,0.61,0.033,0.049,0.3,0.3,0.3,0.18,0.4,0.4,0.4055625,0.072916667,0,0,0,1,0.22,0.71,0.033,0.183,0.75,0.3,0.77,0.29,0,0,0.489583333,0.15625,-7.4,-6.9,2.6,0.5,-1.9,3.6,4.8,3.5,-3,-3.8,-0.7,-0.4,-3.3,1.4,1.5,-6.9,-0.7,1.9,3.5,0,3.9,5.3,1.8,3.7,4.9,0.2,3.2,74,-0.602992376,0.428174326,0.743768054,0.345654256,-0.646756682,2,1,5,5,4,5,3,6,6,4,7,5,6,6,6,3,24,Norway,Norway,0.061238866,0.018950425,0.016701717,0.009143265,4.540504456,1.455448151,21.49674797,15.64004135,-0.004141672,5.81E-05,0.044347532,7.92E-05,0.089594431,0.058758784,204.2267303,10.14881897,0.026738292,4.16E-05,3.43E-05,9.41E-06,81.38719177,10.67465973,7772.756836,1758.477539,-0.000489031,8.53E-07,0.000975386,4.66E-06,5.76E-05,7.58E-05,304.1654358,1.355377197,0.73094219,0.024222076,0.075870685,0.010551058,-0.690652311,0.102842867,-0.576895475,0.277937412,6.82E-06,7.59E-07,8.24E-10,8.45E-11,0.471014768,0.102308273,9.998889923,0.596335411,0.005201371,0.001581053,0.000939126,0.000272944,6.501160145,1.250815868,44.7403717,18.95851517,-0.046973474,0.000404041,0.028726341,0.000128509,19.37123489,0.214794159,9.19E-06,7.14E-06,0.968561649,0.010739744,0.015310471,0.005240874,0.016206969,0.005597832,4.86E-07,6.33E-07,0.015669849,0.000108648,-1.872851133,1.242675781,0.454826564,51.12236786,0.026648525,1.967967796,2.618399941,-0.560845731,2.024898699,3.202495591,1.544225978,-1.595152733,2.395200304
8d5d540583c4c3d4787b2c7f3d4ca72d,166c4f81197697d65c2bd8003fb0e979,aec3f35a14102dbcc5b55fe2828271d9,less rough,rough,less,0.15,0.09,0,-0.04,-0.14,0,-0.05,-0.184,-0.23,-0.19,-0.2,0.4,-0.23,0.27,0,-0.083333333,0.15,0.15,0.15,0.73,0.25,0.25,0.15,0.1,0.53,0.32,0.36,0.4,0.4,0.4,2.08E-05,0.010416667,0,0.06,0.15,0.77,0.39,0.25,0.2,0.284,0.76,0.51,0.56,0,0.63,0.13,2.08E-05,0.09375,-3,-6.6,1.6,1.1,-5.2,2.1,-1.5,3,-1.5,-1.3,-3,-4.4,-4.3,-2.8,0,0,-1.4,2.2,0.7,-3.9,5.8,3,0,-2.5,-1.2,0,1.7,40,-0.658238608,-0.392477254,0.384354774,0.152692674,-0.59226581,2,1,5,5,4,5,3,6,6,4,7,5,6,6,6,3,24,Norway,Norway,0.013765822,0.006896413,0.005286551,0.003658253,9.326208115,4.02188015,94.95800018,90.63451385,-0.014944733,0.00465598,0.612888634,0.413842678,0.028112093,0.019607278,257.8417053,6.742668152,0.00373912,8.82E-05,1.61E-06,7.44E-07,161.1901093,120.4676857,92021.10156,49544.89453,-0.007086278,0.004786272,0.211014003,0.308058467,4.41E-06,5.99E-06,370.6881104,4.040939331,0.736595333,0.139215499,0.074170664,0.048408829,-0.430604875,0.64766185,-1.002539039,1.195887983,8.95E-05,8.06E-05,1.59E-07,2.57E-07,0.407617033,0.325455882,10.06058598,3.139692783,0,0,0,0,0,0,-3,0,-0.180751905,0.058443144,0.443460256,0.295921206,20,0,0,0,1,0,0,0,0,0,0,0,0.169644088,0.116595969,-1.412459612,1.239614487,0.478717476,157.8829346,0.003755102,3.015899256,3.858645859,-0.926244102,-0.149018404,-1.404075395,-0.868323141,-0.240620687,0.234602529
